"City","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","Sport","Event","Medal","Country","host","TeamEvent","won","n_medals"
"Rio de Janeiro",38842,"Enrico Garozzo",1,27,190,70,"Italy","ITA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",109527,"Yana Volodymyrivna Shemiakina",0,30,168,60,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,1
"Rio de Janeiro",127503,"Olena Oleksandrivna Voronina",0,26,165,65,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team","Silver","Brazil",0,1,1,0
"Rio de Janeiro",27713,"Inna Vasilyevna Deriglazova",0,26,173,61,"Russia","RUS","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual","Gold","Brazil",0,0,1,1
"Rio de Janeiro",112678,"Aleksandra Anna Socha (-Szelagowski)",0,34,174,66,"Poland","POL","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",70689,"Liu Yongshi",0,26,176,62,"China","CHN","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",63541,"Magorzata Kozaczuk",0,28,169,62,"Poland","POL","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",76230,"Alexander Chen Massialas",1,22,188,81,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team","Bronze","Brazil",0,1,1,1
"Rio de Janeiro",495,"Alaaeldin Ahmad El-Sayyid Abouelkassem",1,25,188,87,"Egypt","EGY","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,1
"Rio de Janeiro",4646,"Chika Aoki",0,26,158,54,"Japan","JPN","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",54630,"Daniel Jrent",1,25,189,84,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team","Gold","Brazil",0,1,1,0
"Rio de Janeiro",78281,"Gerek Lin Meinhardt",1,26,183,80,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team","Bronze","Brazil",0,1,1,0
