"ID","Name","Sex","Age","Height","Weight","Team","NOC","Year","Season","Sport","Event","Country","host","TeamEvent","n_medals"
91583,"Park Sang-Young",1,28,177,73,"Other","KOR",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,1
10112,"Alejandra Jhonay de Jess Bentez Romero",0,44,169,62,"Other","VEN",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
85727,"Nguyn Th L Dung",0,40,168,55,"Other","VIE",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
36475,"Tarek Fouad Muhammad Kamil Ayad",1,37,180,75,"Other","EGY",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
95921,"Joseph Polossifakis",1,33,178,77,"Other","CAN",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
20194,"Chen Haiwei",1,29,188,78,"Other","CHN",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
125608,"Irene Vecchi",0,35,170,56,"Italy","ITA",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
23307,"Rayssa Costa de Oliveira",0,33,176,63,"Other","BRA",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
42770,"Eileen Grench",0,37,152,59,"Other","PAN",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
35147,"Marco Fichera",1,30,180,74,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
116303,"Pavel Vladimirovich Sukhov",1,36,179,75,"Other","RUS",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
79670,"Sbin Mikina",0,36,168,51,"Other","AZE",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
108698,"Seo Ji-Yeon",0,31,168,56,"Other","KOR",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,0
10958,"Azza Besbes",0,33,175,62,"Other","TUN",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
96742,"Ren Pranz",1,38,184,76,"Austria","AUT",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
68286,"Enzo-Boris Lefort",1,32,190,80,"France","FRA",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",1,0,0
80184,"Kazuyasu Minobe",1,37,177,75,"Other","JPN",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
59588,"Lee Kiefer",0,30,163,49,"United States","USA",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
41656,"rsula Sarah Gonzlez Garate",0,32,171,71,"Other","MEX",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
53261,"Josphine Jacques-Andr-Coquin",0,33,170,51,"France","FRA",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",1,1,0
78281,"Gerek Lin Meinhardt",1,34,183,80,"United States","USA",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,1
35147,"Marco Fichera",1,30,180,74,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,1
54482,"Jeon Hui-Suk",0,40,169,60,"Other","KOR",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,1
72724,"Ma Jianfei",1,40,186,78,"Other","CHN",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
101565,"Tas de Morais Rochel",0,40,165,61,"Other","BRA",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
